source_id,canonical_url,revision,author_or_publisher,licence,attribution,redistribution,adaptation,language,digest,admission_note
lichess-openings-a,https://github.com/lichess-org/chess-openings/blob/4b8622759e7ae6f93f011cc6c83a3823401ab45e/a.tsv,4b8622759e7ae6f93f011cc6c83a3823401ab45e,lichess.org,CC0-1.0,Not required,yes,yes,en,sha256:41722fa3d44f294357326fe2ca1b956d9e56490b30efcfa68db61114c9df7e10,Structured opening identity only
lichess-openings-b,https://github.com/lichess-org/chess-openings/blob/4b8622759e7ae6f93f011cc6c83a3823401ab45e/b.tsv,4b8622759e7ae6f93f011cc6c83a3823401ab45e,lichess.org,CC0-1.0,Not required,yes,yes,en,sha256:310f0997d5a26ac6c9abfabac028e47e78f24356a6ba322cfffbf8f5a3f88d25,Structured opening identity only
lichess-openings-c,https://github.com/lichess-org/chess-openings/blob/4b8622759e7ae6f93f011cc6c83a3823401ab45e/c.tsv,4b8622759e7ae6f93f011cc6c83a3823401ab45e,lichess.org,CC0-1.0,Not required,yes,yes,en,sha256:b2e64f32e42e6418b327d03a55af65f3a18e762f7cbc0efffc7e9d1ed3aa7343,Structured opening identity only
lichess-openings-d,https://github.com/lichess-org/chess-openings/blob/4b8622759e7ae6f93f011cc6c83a3823401ab45e/d.tsv,4b8622759e7ae6f93f011cc6c83a3823401ab45e,lichess.org,CC0-1.0,Not required,yes,yes,en,sha256:58cad40b886bd499717eabcce281d4bfcf00eeadbdc00552f42042cf4aac50d2,Structured opening identity only
lichess-openings-e,https://github.com/lichess-org/chess-openings/blob/4b8622759e7ae6f93f011cc6c83a3823401ab45e/e.tsv,4b8622759e7ae6f93f011cc6c83a3823401ab45e,lichess.org,CC0-1.0,Not required,yes,yes,en,sha256:f1f8494f488f660e284f23527d5acfbeccdbbc3acc76e74f05d125f39d2f8a74,Structured opening identity only
lichess-puzzle-prefix,https://database.lichess.org/lichess_db_puzzle.csv.zst,byte-range-0-12582911-retrieved-2026-08-20,lichess.org,CC0-1.0,Not required,yes,yes,en,sha256:910d6920fbd2117182a165c39fe6cf34869afd9b80cae09cde5550ffc982e005,Generated and vote-refined labels are corpus evidence not ground truth
wikibooks-sicilian,https://en.wikibooks.org/w/index.php?title=Chess_Opening_Theory/1._e4/1...c5&oldid=4628469,4628469,Wikibooks contributors,CC-BY-SA-4.0,Page title revision URL and Wikibooks contributors,yes,yes,en,sha256:69bdd1bf286fd2dd8faa9966b677a661ae8e6fdb03e649cfecc70d90dda9ae52,Exact MediaWiki API response
wikibooks-caro,https://en.wikibooks.org/w/index.php?title=Chess_Opening_Theory/1._e4/1...c6&oldid=4621962,4621962,Wikibooks contributors,CC-BY-SA-4.0,Page title revision URL and Wikibooks contributors,yes,yes,en,sha256:42bad1f434b26b4cce16a423cc4ff56c3f8d1e61f0b17894c5b275741cfbd0a5,Exact MediaWiki API response
wikibooks-qg,https://en.wikibooks.org/w/index.php?title=Chess_Opening_Theory/1._d4/1...d5/2._c4&oldid=4628332,4628332,Wikibooks contributors,CC-BY-SA-4.0,Page title revision URL and Wikibooks contributors,yes,yes,en,sha256:c9bcb4fe246c4a239f9f29d926e2796c7f5bb4b995b6606237a15b3553db2c20,Exact MediaWiki API response
wikibooks-kid,https://en.wikibooks.org/w/index.php?title=Chess_Opening_Theory/1._d4/1...Nf6/2._c4/2...g6&oldid=4659986,4659986,Wikibooks contributors,CC-BY-SA-4.0,Page title revision URL and Wikibooks contributors,yes,yes,en,sha256:4a7abf4ce31b1301b7e4516037735efa7103c1b4a0d7715cd739cdb2e529ae81,Exact MediaWiki API response
