Product,Access model,Primary unit,Opening recall,Opening ideas/structures,Continues beyond theory,Curated middlegame play-out,8+ ply active play,Persistent branch attempts,Checkpoint rewind,Endgame full play-out,Win/draw/save objectives,Human-like opponent,Real-game corpus,Human from position,Feedback model,Closest strength,Main gap versus Phase Drill Lab,Evidence confidence,Primary source
Chess Endgame Training,Free / open-source PWA,Endgame position,N,N,N,N,Y,P move-list lines,Y from earlier move,Y,Y win/draw,N; tablebase/Stockfish,Curated catalog,N,Outcome + engine/tablebase,Closest endgame interaction,Endgame-only; reported slow/poor UX; no connected phases,High on features; slow/poor UX is user-reported,https://chess-endgame-trainer.web.app/
ChessDojo sparring,Paid community + public guidance,Repeated fixed-position games,P,Y via authored positions,Y,Y,Y,Manual notes,Manual restart,Y manually,Y,Human,Curated/model games,Y,Partner analysis then engine,Closest pedagogy,Manual coordination; no branch runtime or instant replay,High,https://www.chessdojo.club/learn/guides
Noctie,Paid SaaS with trial,Human-like sparring game,Y,P hints/statistics,Y full game,P arbitrary position,Y,"P takeback, not branch lab",Y takeback,Y,P,Y,Human stats/model,N,Move-level color feedback,Closest all-phase sparring,No preserved multi-branch curriculum or causal phase trajectory,High,https://noctie.ai/
Chess From Position,Free web tool,Real-game start position,P filter,N,Y by launching play,P random positions,Y externally,N,N,Y externally,P,Depends on Lichess target,Y,Y via Lichess challenge,Lichess analysis,Excellent position sourcing,"No curriculum, branch attempts, checkpoint feedback",High,https://chessfromposition.com/
Listudy,Free / AGPL,Repertoire line card,Y,Comments only,N,N,N,N,Retry line,N,N,N,Imported studies,N,Correct/incorrect SRS,Honest opening memorization,Explicitly does not teach theory or resulting game,High,https://listudy.org/en/blog/learning-chess-openings
Chessdriller,Free / self-hosted open source,Opening SRS card,Y,P annotations,N,N,N,N,Retry card,N,N,N,Own repertoire,N,SRS,Self-hosted opening drill,No middlegame/endgame sequence,Medium-High,https://github.com/denizsafak/chessdriller
DrillChess extension,Free browser extension,Randomized study move,Y,P by random order,N,N,N,N,Retry,N,N,N,Lichess studies,N,Correct/incorrect,Challenges sequential memorization,Tiny opening-only extension,High,https://chromewebstore.google.com/detail/drill-chess/ggfielhhicpkogifcjhijclojjlibpmb
Chessstack,Free / open source self-hosted,Repertoire card + puzzles,Y,P book/engine suggestions,N,N,N,N,Retry card,N,N,N,Chessmont/Lichess,N,SRS and review,Modern self-hosted repertoire tool,Still line/puzzle centered,Medium-High,https://github.com/kstarr1997/ChessStack
ChessTempo,Freemium SaaS,Puzzle / opening line,Y,P comments/explorer,P analysis board,P custom positions,P,Y analysis tree,Manual,P endgame trainer,Draws exist but exact grading,N,Real games,N,Exact move/DTM oriented,Powerful drill database,Fragmented modes; limited whole-plan replay,High,https://chesstempo.com/
Chessable / Courses,Paid courses + free content,Authored course position,Y,Y author dependent,Y bot from position,Y if authored,Y bot game,Y analysis variations,Restart position,P,P,P bot,Course/model games,N,Author text + MoveTrainer,Best authored theory/content,No branch-attempt runtime; content locked to courses,High,https://www.chess.com/blog/Chessable/train-against-bots-the-highly-requested-feature-is-here
Chess.com Practice,Freemium platform,Drill or custom position,Y,Y lessons,Y,P,Y,P analysis/takeback,Y,Y,Y in drills,P bots,Large proprietary data,Friend/custom manually,Engine/lesson feedback,Broad convenient toolbox,Not organized around preserved phase episodes,High,https://www.chess.com/practice
Lichess,Free / open source,Puzzle/study/analysis/game,Y studies,Y authored studies,Y manually,P studies/custom starts,Y,Y study variations,Manual,Y manually,Y manually,Maia/community bots,Y CC0,Y custom challenge,Engine/tablebase/study comments,Best free infrastructure,User must assemble curriculum and branch comparison,High,https://lichess.org/
Lucas Chess,Free desktop,Many independent training modes,Y,P,Y manually,P,Y,P,Y,Y,P,Many engines,Local databases,N,Engine/task dependent,Huge local toolbox,Fragmented UX; no unified phase protocol,High,https://lucaschess.pythonanywhere.com/
ChessBase + Fritz,Paid Windows desktop,Database/analysis/sparring,Y,Y annotations,Y,Y manually,Y,Y variation tree,Y,Y,P,Style/strength simulation,Large proprietary DB,Online server separately,Deep manual analysis,Most powerful workstation,Expensive/manual/Windows; not drill-first,High,https://en.chessbase.com/
Chessiverse,Freemium SaaS,Human-like bot game,P,N,Y,P custom positions,Y,P,Y restart,P,P,Y,Unknown/proprietary,N,Move analysis,Bot variety/personality,Thin curriculum and branch comparison,Medium-High,https://chessiverse.com/
SparringChess,Free web,Opening sparring,Y,P real statistics,Y full game,N,Y,N,Restart,P if game reaches,N,P,Y opening stats,N,Basic,Fast realistic opening reps,Opening-only; no concept checkpoints/branch lab,Medium-High,https://sparringchess.com/
endgametrainer.com,Freemium web,Endgame puzzle,N,N,N,N,P short line,N,Retry,P,Y including draw,N,Human-selected positions,N,Puzzle rating,Large practical endgame set,"Puzzle-shaped, not full connected play",Medium-High,https://endgametrainer.com/
ChessEndings,Freemium / one-time paid,Theoretical ending play-out,N,N,N,N,Y,N,Retry,Y,Y,Perfect tablebase,Curated,N,Technique lesson + play,Polished outcome practice,Endgame-only; no phase branching,Medium,https://chessendings.com/
Chessload,Free web,Endgame/strategic exercise,N,N,N,P,P,N,Retry,Y,Y attack/defend,Engine,Curated,N,Task feedback,Narrow free strategic/endgame modes,Limited breadth and branch runtime,Medium,https://chessload.com/
WhyThisMove,Free / MIT open source,Opening/analyze/AI coach,Y,Y LLM explanations,P,P positions,P,P analysis,Manual,P,P,Maia-2,Large Lichess aggregate,N,Stockfish+Maia+LLM,Closest open technical stack,Not centered on whole-sequence rehearsal or authored drill packs,High,https://whythismove.com/open-source
Maia Chess platform,Free / open source,Human model play/analysis,Y,P,Y,P,Y,N,Restart,P,P,Y,Model training data,N,Human prediction insights,Reusable human-model platform,No integrated phase curriculum/branch comparator,High,https://www.maiachess.com/
Opening Thingy,Free / open source,Corpus-weighted opening simulation,Y,P stats,N,N,N,N,Reset line,N,N,N,Lichess,N,Eval + move frequencies,Realistic opening deviations,Prototype/old; stops at opening line,High,https://github.com/kylepls/chess
ChessMood,Paid course platform,GM course + practice,Y,Y,Y in programs,Y authored,P,N,Retry,Y,Y,P bots/sparring guidance,Model games,Community manually,GM instruction,Strong conceptual content,Closed content platform; no persistent branch lab,Medium-High,https://chessmood.com/
Aimchess,Paid SaaS,Personalized exercise,Y,P,N,P,P,N,Retry,Y,Y,N,Own games,N,Analytics/exercises,Strong personal selection,Wrong category; no whole-phase branch rehearsal,High,https://aimchess.com/
DecodeChess,Paid SaaS,Position explanation,N,P,N,N,N,Y analysis,Manual,P,N,N,N,N,Generated explanation,Best interpretation layer,"Analysis, not active sequence drilling",High,https://decodechess.com/
chessfeed.ai,Paid/new SaaS,AI branch exploration,P,P,P,P,P,Y claimed,Y claimed,P,P,Unknown,Unknown,N,LLM/engine,Saved branch exploration,Depth and active replay need hands-on verification,Medium,https://chessfeed.ai/
GrindChess,Paid/new SaaS,Opening/endgame grinding,Y,P,Y,P,Y,P,Y,Y,Y,Y claimed,Own games/corpus,N,Move/outcome feedback,Close practical grinding,Public evidence limited; branch curriculum unclear,Medium,https://grindchess.com/
Fritz/Chess Position Trainer legacy workflows,Paid/local,Repertoire plus engine game,Y,P annotations,Y,P,Y,Y analysis,Y,Y,P,Engine/book,Database,N,Manual expert workflow,Can approximate idea locally,Setup friction and no authored unified runtime,Medium-High,https://www.chesspositiontrainer.com/
ChessMotive,Free (account required),Single-position decision process (6 steps),No,Partial (authored prose per candidate),No,No,No,No,No,No,No,None (no opponent at all),Yes (curated professional games),No,Human-authored prose per candidate revealed after commit; Stockfish post-reveal panel,Step-indexed process transcript diffed row-by-row against a model answer,No play-out/opponent/rewind/preserved branches; atomic positions with no cross-phase notion,[V] desk (SPA bundle strings/JSON-LD/sitemap),https://chessmotive.com
Chessbook,"Freemium (400 free moves; Pro $7.99/mo)",Repertoire move card,Y,P stats/annotations,N,N,N,N,Retry line,N,N,N,Y masters/Lichess stats,N,SRS + gap coverage + own-game mistake scan,"Best current repertoire SRS (gap finding, transpositions)",Opening-only; no play-out beyond book and no branch runtime,[V] desk (App Store listing),https://chessbook.com
Chess2Story,"Freemium (first story free; $5/story pay-as-you-go or $9-39/mo credit packs; $25 printed book)",Finished game as story/comic/coach-review/audio,N,N,N,N,N,N,N,N,N,N (no opponent anywhere),Your pasted game (PGN or link) + curated famous games,N,Engine finds turning points; LLM narrates fiction (labeled as fiction); verified-score provenance; live board synced to text with jump-to-moment cards,Grounded moment slides + board-jump navigation — the closest shipped ancestor of the game-story surface,Read-only: moment cards jump the board but never open into play; no opponent/rewind/branches; zero loop stages,[V] desk (site + famous-game pages + pricing; story bodies client-rendered/unread),https://chess2story.com/
ChessEver,"Free + subscription ($11.99/mo)",Live broadcast board feed,N,N,N,N,N,N,N,N,N,N (no play at all),Y claimed 6.2M-game DB,N,Live clocks/eval symbols + opening explorer,"Best current follow-live-chess app (player tracking, PiP)","Spectating only — no play, drill, or rehearsal",[V] desk (App Store listing),https://chessever.com/
Chessido,Freemium academy SaaS,Coach-led live class,P puzzles,P coach-delivered,N,N,P bot drills,N,N,N,N,N (bots 100+ Elo),N (rating sync only),N,Homework analytics (score/accuracy/weak topics),Classroom board sync + academy ops,"Ops and puzzles; class board is broadcast, not consequence play; no branch runtime",[V] desk (site),https://www.chessido.com/
Chessvia,Subscription with trial,Voice-coached game vs AI,P,P via chat,Y full game,N,Y,N,P unclear,P if reached,N,Unknown — undisclosed,Unknown,N,LLM voice/text during and after play (personas),Voice-first LLM coach with personas,Grounding undisclosed — the ADR-0005 anti-pattern shape; no branch/rewind curriculum,[V] desk (site),https://www.chessvia.ai/
ChessMind AI,"Freemium ($9.99/mo, $69.99/yr, $229.99 lifetime; free assessment)",Maia-2 sparring game + GM courses + review,Y 56-69 GM courses,Y course content + positional exercises (Chess Structures author),Y full game incl. course-position sparring,N,Y,N,Retry/restart in exercises only,Y trainer answers + Survival mode,P survival implies save-shape,Y Maia-2 client-side ONNX six bands ~1100-2000+ (verified in bundle),Y model training data + username game import,N,Stockfish classification + server-generated plain-language debrief (generator undisclosed; no LLM named; no public confabulation catch found),Closest stack neighbor: verified Maia-2 + Stockfish + GM-authored content at our exact band (GM Mauricio Flores Rios),Debrief is read not re-entered; no checkpoint rewind/preserved branches/comparison/phase trajectory,[V] desk (site + 2.5MB app bundle + App Store),https://chessmind.ai/
OpeningTrainer,Freemium (free without signup + premium),Corpus-weighted opening game,Y,P stats,P unspecified beyond book,N,Y,N,Retry,N,N,P corpus sampling,Y Lichess move stats,N,Immediate per-move stats; explicitly anti-SRS,Corpus-exact human emulation for opening reps,Opening-only; no checkpoints or branch lab,[V] desk (site),https://openingtrainer.com/
Chess Yourself,"Free (Pro tier ""coming soon"")",Game vs clone of yourself,N,N,Y full game,N,Y,N,Restart,Y if reached,N,Y — model of you specifically,Y your public Chess.com/Lichess games,N,Weakness heatmap (Pro),Personal-model opponent (novel axis),"Mirror-match novelty; no curriculum, branches, or checkpoints",[V] desk (site),https://www.chessyourself.com/
